Config_ID,Runtime_Seconds,Runtime_Minutes,Profile_Generation_Seconds,Profile_Shortlist_Seconds,Rack_Search_Seconds,Profile_Generation_Timeout,Rack_Search_Timeout,Layout_Feasible,Required_Locations_Total,Total_Locations,Capacity_Margin,Assigned_Used_Height_Total,Total_Allowed_Height,Space_Left,Beam_Relocations_Total,Initial_Beams_Total,Required_Beams_Total,Additional_Beams_Required,Initial_Grids_Total,Required_Grids_Total,Additional_Grids_Required,Percentage_Rack_Height_Used,Minimum_Required_Counts,Additional_Fill_Counts,Layout_Slot_Size_Distribution,Layout_Slot_Size_Cumulative_Coverage,Source_Slot_Sizes,Layout_Usable_Alignment_Conversions,Feasible_Profiles_Considered_Total,Feasible_Profiles_Used_Total
CFG_003,0.023,0,0,0,0,NO,NO,NO,926,0,-926,0,161356,161356,0,305,0,0,949,0,0,0,69:428|124:327|239:171,,,,"69,124,239",0,0,0
CFG_004,0.81,0.014,0.001,0,0.426,NO,NO,NO,926,1070,144,161356,161356,0,253,305,272,0,949,856,0,100,69:428|124:327|189:104|239:67,189:110|239:147,69:428|124:214|189:214|239:214,69:1070|124:642|189:428|239:214,"69,124,189,239",0,3,1
CFG_005,166.177,2.77,0.006,0,165.754,NO,NO,YES,926,1196,270,161356,161356,0,267,305,312,7,949,982,33,100,34:126|69:302|124:327|189:104|239:67,39:44|44:60|69:22|79:44|124:51|189:88|239:65,34:126|69:368|124:378|189:192|239:132,34:1196|69:1070|124:702|189:324|239:132,"34,69,124,189,239",0,9,5
CFG_006,225.861,3.764,0.016,0,225.298,NO,NO,YES,926,1366,440,161356,161356,0,292,305,366,61,949,1152,203,100,34:126|69:302|99:220|124:107|189:104|239:67,39:60|44:44|49:22|69:142|99:82|124:107|189:44|239:21,34:170|69:444|99:302|124:214|189:148|239:88,34:1366|69:1196|99:752|124:450|189:236|239:88,"34,69,99,124,189,239",0,30,5
CFG_007,220.005,3.667,0.049,0,219.107,NO,NO,YES,926,1432,506,161356,161356,0,284,305,387,82,949,1218,269,100,34:126|69:302|99:220|124:107|154:75|189:29|239:67,39:22|44:126|49:22|69:170|74:22|99:120|124:85|154:7|189:15|239:21,34:192|69:494|99:340|124:192|154:82|189:44|239:88,34:1432|69:1240|99:746|124:406|154:214|189:132|239:88,"34,69,99,124,154,189,239",0,73,9
CFG_008,181.07,3.018,0.309,0,179.013,NO,NO,YES,926,1564,638,161356,161356,0,289,305,429,124,949,1350,401,100,34:126|59:183|69:118|99:220|124:108|154:75|189:29|239:67,34:116|54:82|59:163|69:74|99:142|124:18|154:7|189:15|239:21,34:324|59:346|69:192|99:362|124:126|154:82|189:44|239:88,34:1564|59:1240|69:894|99:702|124:340|154:214|189:132|239:88,"34,59,69,99,124,154,189,239",0,186,6
CFG_009,199.02,3.317,0.925,0,195.332,NO,NO,YES,926,1530,604,161356,161356,0,289,305,418,113,949,1316,367,100,34:126|59:183|69:118|84:115|99:105|124:108|154:75|189:29|239:67,34:98|59:113|69:118|84:77|99:87|124:68|154:7|189:15|239:21,34:224|59:296|69:236|84:192|99:192|124:176|154:82|189:44|239:88,34:1530|59:1306|69:1010|84:774|99:582|124:390|154:214|189:132|239:88,"34,59,69,84,99,124,154,189,239",0,391,7
CFG_010,241.623,4.027,1.826,0,233.816,NO,NO,NO,926,1552,626,161356,161356,0,295,305,425,120,949,1338,389,100,34:126|59:183|69:118|84:115|99:105|124:108|154:75|189:29|214:56|239:11,34:32|49:44|59:91|69:162|84:77|99:109|124:90|154:7|189:15|214:10,34:202|59:274|69:280|84:192|99:214|124:198|154:82|189:44|214:66,34:1552|59:1350|69:1076|84:796|99:604|124:390|154:192|189:110|214:66,"34,59,69,84,99,124,154,189,214,239",0,517,7
CFG_013,0.019,0,0,0,233.816,NO,NO,NO,926,0,-926,0,161356,161356,0,305,0,0,949,0,0,0,74:372|124:348|239:206,,,,"74,124,239",0,0,0
CFG_014,0.803,0.013,0.001,0,0.381,NO,NO,NO,926,1032,106,161356,161356,0,248,305,260,0,949,818,0,100,74:372|124:348|184:133|239:73,99:38|124:4|184:295,74:214|124:352|184:428|239:38,74:1032|124:818|184:466|239:38,"74,124,184,239",0,3,2
