Location,Rack,Aisle,Column,Row,Ground Level,Highest Level,Hand Pick,Location Type Name,Status,Height (cm),Vertical Lift Height (cm),Pick Mode,Rack Distance from I/O (m),Horizontal Access Time (s),Vertical Access Time (s),Total Access Time (s),Access Time Rank,Horizontal Speed (m/s)
A0001,A,AB,00,01,True,False,True,A-stelling,Occupied,234,0.0,RT,27.53,18.398228962818003,0.0,18.398228962818003,17,1.4963396778916547
A0101,A,AB,01,01,True,False,True,A-stelling,Occupied,234,0.0,RT,27.53,18.398228962818003,0.0,18.398228962818003,17,1.4963396778916547
A0201,A,AB,02,01,True,False,True,A-stelling,Occupied,234,0.0,RT,27.53,18.398228962818003,0.0,18.398228962818003,17,1.4963396778916547
A0301,A,AB,03,01,True,False,True,A-stelling,Occupied,234,0.0,RT,27.53,18.398228962818003,0.0,18.398228962818003,17,1.4963396778916547
A0401,A,AB,04,01,True,False,True,A-stelling,Occupied,234,0.0,RT,27.53,18.398228962818003,0.0,18.398228962818003,17,1.4963396778916547
A0501,A,AB,05,01,True,False,True,A-stelling,Empty,234,0.0,RT,27.53,18.398228962818003,0.0,18.398228962818003,17,1.4963396778916547
A0601,A,AB,06,01,True,False,True,Cabinet Frame,Occupied,234,0.0,RT,27.53,18.398228962818003,0.0,18.398228962818003,17,1.4963396778916547
A0701,A,AB,07,01,True,False,True,Pallet,Occupied,234,0.0,Hand Pick,27.53,18.398228962818003,0.0,18.398228962818003,17,1.4963396778916547
A0801,A,AB,08,01,True,False,True,Pallet,Occupied,234,0.0,Hand Pick,27.53,18.398228962818003,0.0,18.398228962818003,17,1.4963396778916547
A0901,A,AB,09,01,True,False,True,Cabinet Frame,Occupied,234,0.0,RT,27.53,18.398228962818003,0.0,18.398228962818003,17,1.4963396778916547
A1001,A,AB,10,01,True,False,True,A-stelling,Occupied,234,0.0,RT,27.53,18.398228962818003,0.0,18.398228962818003,17,1.4963396778916547
A1101,A,AB,11,01,True,False,True,A-stelling,Occupied,234,0.0,RT,27.53,18.398228962818003,0.0,18.398228962818003,17,1.4963396778916547
A1201,A,AB,12,01,True,False,True,Cabinet Frame,Occupied,234,0.0,RT,27.53,18.398228962818003,0.0,18.398228962818003,17,1.4963396778916547
A1301,A,AB,13,01,True,False,True,Pallet,Occupied,234,0.0,Hand Pick,27.53,18.398228962818003,0.0,18.398228962818003,17,1.4963396778916547
