SKU,Description,Location Fixed,Location Inventory,Warehouse Fixed,Nr of Picks,Nr of Picks Total Window,Quantity,Std Unit Cost,Extended Std Cost,Demand 180 Days,Actual Locations,Number of Registered Locations,Has Bulk Location,Registered Actual Location Count,Registered Location Types,Has Ground Level,Has Hand Pick,Has Highest Level
ABS6020_240_00053,RIGHT INTERMEDIATE SIDEPLATE A,D0604,,A0000N,0,0,142.0,20.99,2980.58,0.0,D0604,1,False,1,Legbord,False,False,False
ABS6020_240_00271,LCD ASSY,EZKE,,A0000N,0,0,737.0,75.7647,55838.58,0.0,EZKE,1,True,1,,False,False,False
ABS6020_240_00331,INSERT LEFT BLUE ASSY,G1304,,A0000N,0,0,296.0,3.8157,1129.45,0.0,G1304,1,False,1,Pallet,False,False,False
ABS6020_240_00341,INSERT RIGHT BLUE ASSY,G1404,,A0000N,0,0,523.0,3.8157,1995.61,0.0,G1404,1,False,1,Pallet,False,False,False
ABS6020_242_00342,LEFT INTERMEDIATE SIDEPLATE,D0504,,A0000N,0,0,202.0,18.64,3765.28,0.0,D0504,1,False,1,Legbord,False,False,False
ABS6020_243_00102,FRONT COVER,EZKE,,A0000N,0,0,542.0,5.55,3008.1,0.0,EZKE,1,True,1,,False,False,False
ABS6020_243_00112,HANDLE,EZKE,,A0000N,0,0,551.0,4.73,2606.23,0.0,EZKE,1,True,1,,False,False,False
ABS6020_243_00122,SIDE PART LEFT,G1104,,A0000N,0,0,558.0,5.39,3007.62,0.0,G1104,1,False,1,Pallet,False,False,False
ABS6020_243_00132,SIDE PART RIGHT,EZKE,,A0000N,0,0,563.0,5.39,3034.57,0.0,EZKE,1,True,1,,False,False,False
ABS6020_247_00061,ABIOSCOPE2 PACKAGING SET,EZKE,,A0000N,0,0,91.0,39.7,3612.7,0.0,EZKE,1,True,1,,False,False,False
AIB4022_109_00241,BOX 408X408X110MM CARDBOARD,LZKL,LZKL,A0000N,0,0,350.0,2.632,921.2,358.0,LZKL,1,True,1,,False,False,False
AIB4022_109_00251,INLAY 403X90MM CARDBOARD,LZKL,LZKL,A0000N,0,0,1080.0,0.767,828.36,1211.0,LZKL,1,True,1,,False,False,False
AIB4022_109_00261,SHEET 403X403MM CARDBOARD,LZKL,LZKL,A0000N,0,0,135.0,1.014,136.46,572.0,LZKL,1,True,1,,False,False,False
AIB4022_109_00281,BOX 495X495X205MM CARDBOARD,LZKL,LZKL,A0000N,2,2,305.0,4.069,1241.05,6.0,LZKL,1,True,1,,False,False,False
AIB4022_244_60061,DISPLAY BOX PM8907,J0504,J0504,A0000N,1,1,1383.0,0.14,193.68,0.0,J0504,1,False,1,Pallet,False,False,False
AIB4022_244_60271,DISPLAYBOX  PM8907/008,J0604,J0604,A0000N,0,0,880.0,0.46,404.8,0.0,J0604,1,False,1,Pallet,False,False,False
AIB4022_301_10491,SHIPPING STICKER ALFRED,K1603,K1603,A0000N,0,0,4000.0,0.0324,129.6,200.0,K1603,1,False,1,Pallet,False,False,False
AIB4022_494_46861,CORNER PIECE,LZKL,LZKL,B0000N,0,0,1387.0,0.4798,665.48,0.0,LZKL,1,True,1,,False,False,False
AIB7001_101_00154,CAP 0.012F 20% 35V ESR=0.32,EZKE,EZKE,A0000N,25,25,2911.0,1.53,4453.83,6492.0,EZKE,1,True,1,,False,False,False
AIB7001_103_00291,A350 AIP LCD  28QVF1H,B1403,B1403,A0000N,0,0,1173.0,40.55,47565.15,0.0,B1403,1,False,1,Pallet,False,False,False
AIB7001_105_00030,CARD EJECTOR D7E50-7316-03 3M,H2002,H2002,A0000N,0,0,1405.0,2.15,3020.75,3126.0,H2002,1,False,1,Legbord,False,True,False
AIB7001_107_00001,LCD MODULE EA DIP162-DHNLED,A1504,A1504,A0000N,0,0,200.0,16.5,3300.0,10.0,A1504,1,False,1,Pallet,False,False,True
AIB7001_107_00032,A350 AAP TYPE A TOUCHSCREEN,E0103,E0103,A0000N,8,8,199.0,39.6266,7885.7,256.0,E0103,1,False,1,Legbord,False,True,False
AIB7001_107_00061,A350 AAP-AIP 2.8 INCH LCD DISP,E0103,E0103,A0000N,8,8,1086.0,15.02,16311.72,539.0,E0103,1,False,1,Legbord,False,True,False
AIB7001_107_00101,LOUDSPEAKER 25 L 23 14,EZKE,EZKE,A0000N,0,0,438.0,16.5,7227.0,0.0,EZKE,1,True,1,,False,False,False
AIB7001_107_00559,LOUDSPEAKER 25 L 25 10,E0403,E0403,A0000N,3,3,72.0,26.34,1896.48,35.0,E0403,1,False,1,Legbord,False,True,False
AIB7001_109_00031,FAP STRAP AND BUCKEL,H1902,H1902,"A0000N, B0000N",0,0,3.0,57.95,173.85,0.0,H1902,1,False,1,Legbord,False,True,False
AIB7001_240_06361,LIB A330F LARGE FRONTPLATE ASS,A1504,A1504,A0000N,0,0,21.0,208.93,4387.53,0.0,A1504,1,False,1,Pallet,False,False,True
AIB7001_240_07842,A350-FAP BACKLIGHT INV ASSY,A1504,A1504,A0000N,0,0,79.0,14.6788,1159.62,0.0,A1504,1,False,1,Pallet,False,False,True
AIB7001_240_09971,MP-FAP V52 HKP COVER DD ASSY,E0403,E0403,A0000N,10,10,105.0,290.49,30501.45,450.0,E0403,1,False,1,Legbord,False,True,False
AIB7001_242_00644,DISTANCER UNC4-40X32MM,H1202,H1202,A0000N,0,0,6149.0,0.988,6075.209999999999,7189.0,H1202,1,False,1,Legbord,False,True,False
AIB7001_242_01092,A350 AIP LCD FRAME,E2107,E2107,A0000N,0,0,1140.0,3.451,3934.14,0.0,E2107,1,False,1,Pallet,False,False,True
AIB7001_242_01093,A350 AIP LCD FRAME,I0503,I0503,A0000N,9,9,220.0,3.451,759.22,539.0,I0503,1,False,1,Pallet,False,False,False
