SKU,Description,Location,Warehouse Fixed,Pick Mode,Nr of Picks
ABS6020_240_00053,RIGHT INTERMEDIATE SIDEPLATE A,D0604,A0000N,Unknown,0
ABS6020_240_00271,LCD ASSY,EZKE,A0000N,Unknown,0
ABS6020_240_00331,INSERT LEFT BLUE ASSY,G1304,A0000N,Unknown,0
ABS6020_240_00341,INSERT RIGHT BLUE ASSY,G1404,A0000N,Unknown,0
ABS6020_242_00342,LEFT INTERMEDIATE SIDEPLATE,D0504,A0000N,Unknown,0
ABS6020_243_00102,FRONT COVER,EZKE,A0000N,Unknown,0
ABS6020_243_00112,HANDLE,EZKE,A0000N,Unknown,0
ABS6020_243_00122,SIDE PART LEFT,G1104,A0000N,Unknown,0
ABS6020_243_00132,SIDE PART RIGHT,EZKE,A0000N,Unknown,0
ABS6020_247_00061,ABIOSCOPE2 PACKAGING SET,EZKE,A0000N,Unknown,0
AIB4022_109_00241,BOX 408X408X110MM CARDBOARD,LZKL,A0000N,Unknown,0
AIB4022_109_00251,INLAY 403X90MM CARDBOARD,LZKL,A0000N,Unknown,0
AIB4022_109_00261,SHEET 403X403MM CARDBOARD,LZKL,A0000N,Unknown,0
AIB4022_109_00281,BOX 495X495X205MM CARDBOARD,LZKL,A0000N,Unknown,2
AIB4022_244_60061,DISPLAY BOX PM8907,J0504,A0000N,Unknown,1
AIB4022_244_60271,DISPLAYBOX  PM8907/008,J0604,A0000N,Unknown,0
AIB4022_301_10491,SHIPPING STICKER ALFRED,K1603,A0000N,Unknown,0
AIB4022_494_46861,CORNER PIECE,LZKL,B0000N,Unknown,0
AIB7001_101_00154,CAP 0.012F 20% 35V ESR=0.32,EZKE,A0000N,Unknown,25
AIB7001_103_00291,A350 AIP LCD  28QVF1H,B1403,A0000N,Unknown,0
AIB7001_105_00030,CARD EJECTOR D7E50-7316-03 3M,H2002,A0000N,Unknown,0
AIB7001_107_00001,LCD MODULE EA DIP162-DHNLED,A1504,A0000N,Unknown,0
AIB7001_107_00032,A350 AAP TYPE A TOUCHSCREEN,E0103,A0000N,Unknown,8
AIB7001_107_00061,A350 AAP-AIP 2.8 INCH LCD DISP,E0103,A0000N,Unknown,8
AIB7001_107_00101,LOUDSPEAKER 25 L 23 14,EZKE,A0000N,Unknown,0
AIB7001_107_00559,LOUDSPEAKER 25 L 25 10,E0403,A0000N,Unknown,3
AIB7001_109_00031,FAP STRAP AND BUCKEL,H1902,"A0000N, B0000N",Unknown,0
AIB7001_240_06361,LIB A330F LARGE FRONTPLATE ASS,A1504,A0000N,Unknown,0
