Location,Rack,Column,Row,Location Type,Status,Location height,Item height,Beam type,Beam column count,Delta,Slot Height Group
A0001,A,00,01,A-stelling,Occupied,234,95,Large,4,139,Group 4
A0101,A,01,01,A-stelling,Occupied,234,192,Large,4,42,Group 4
A0201,A,02,01,A-stelling,Occupied,234,197,Large,4,37,Group 4
A0301,A,03,01,A-stelling,Occupied,234,197,Large,4,37,Group 4
A0401,A,04,01,A-stelling,Occupied,234,200,Medium,3,34,Group 4
A0601,A,06,01,Cabinet Frame,Occupied,234,197,Medium,3,37,Group 4
A0701,A,07,01,Pallet,Occupied,234,222,Medium,3,12,Group 4
A0801,A,08,01,Pallet,Occupied,234,232,Medium,3,2,Group 4
A0901,A,09,01,Cabinet Frame,Occupied,234,200,Medium,3,34,Group 4
A1001,A,10,01,A-stelling,Occupied,234,229,Medium,3,5,Group 4
A1101,A,11,01,A-stelling,Occupied,234,229,Medium,3,5,Group 4
A1201,A,12,01,Cabinet Frame,Occupied,234,200,Medium,3,34,Group 4
A1301,A,13,01,Pallet,Occupied,234,132,Medium,3,102,Group 4
A1401,A,14,01,Pallet,Occupied,234,143,Medium,3,91,Group 4
A1501,A,15,01,Pallet,Occupied,234,161,Medium,3,73,Group 4
A0002,A,00,02,Cabinet Frame,Occupied,234,197,Large,4,37,Group 4
A0102,A,01,02,Cabinet Frame,Occupied,234,197,Large,4,37,Group 4
A0202,A,02,02,Cabinet Frame,Occupied,234,197,Large,4,37,Group 4
A0302,A,03,02,Cabinet Frame,Occupied,234,197,Large,4,37,Group 4
A0402,A,04,02,Cabinet Frame,Occupied,234,197,Medium,3,37,Group 4
A0502,A,05,02,Cabinet Frame,Occupied,234,197,Medium,3,37,Group 4
A0602,A,06,02,Cabinet Frame,Occupied,234,197,Medium,3,37,Group 4
A0802,A,08,02,Cabinet Frame,Occupied,234,197,Medium,3,37,Group 4
A0902,A,09,02,Cabinet Frame,Occupied,234,197,Medium,3,37,Group 4
A1002,A,10,02,Cabinet Frame,Occupied,234,197,Medium,3,37,Group 4
A1102,A,11,02,Cabinet Frame,Occupied,234,197,Medium,3,37,Group 4
A1202,A,12,02,Pallet,Occupied,234,197,Medium,3,37,Group 4
A1302,A,13,02,Pallet,Occupied,234,88,Medium,3,146,Group 4
A1402,A,14,02,Pallet,Occupied,234,109,Medium,3,125,Group 4
A0003,A,00,03,Pallet,Occupied,94,88,Large,4,6,Group 2
A0103,A,01,03,Pallet,Occupied,94,88,Large,4,6,Group 2
A0203,A,02,03,Pallet,Occupied,94,88,Large,4,6,Group 2
A0303,A,03,03,Pallet,Occupied,94,67,Large,4,27,Group 2
A0403,A,04,03,Pallet,Occupied,94,65,Medium,3,29,Group 2
A0503,A,05,03,Pallet,Occupied,94,26,Medium,3,68,Group 2
A0603,A,06,03,Pallet,Occupied,94,48,Medium,3,46,Group 2
A0703,A,07,03,Pallet,Occupied,94,38,Medium,3,56,Group 2
A0903,A,09,03,Pallet,Occupied,94,29,Medium,3,65,Group 2
A1003,A,10,03,Pallet,Occupied,94,81,Medium,3,13,Group 2
A1103,A,11,03,Pallet,Occupied,94,69,Medium,3,25,Group 2
A1303,A,13,03,Pallet,Occupied,94,73,Medium,3,21,Group 2
A1403,A,14,03,Pallet,Occupied,94,68,Medium,3,26,Group 2
A0004,A,00,04,Pallet,Occupied,129,88,Large,4,41,Group 3
A0104,A,01,04,Pallet,Occupied,129,88,Large,4,41,Group 3
A0204,A,02,04,Pallet,Occupied,129,88,Large,4,41,Group 3
A0304,A,03,04,Pallet,Occupied,129,116,Large,4,13,Group 3
A0404,A,04,04,Pallet,Occupied,129,81,Medium,3,48,Group 3
A0504,A,05,04,Pallet,Occupied,129,81,Medium,3,48,Group 3
A0604,A,06,04,Pallet,Occupied,129,102,Medium,3,27,Group 3
A0804,A,08,04,Pallet,Occupied,129,62,Medium,3,67,Group 3
A1004,A,10,04,Pallet,Occupied,129,16,Medium,3,113,Group 3
A1104,A,11,04,Pallet,Occupied,129,16,Medium,3,113,Group 3
A1204,A,12,04,Pallet,Occupied,129,91,Medium,3,38,Group 3
A1304,A,13,04,Pallet,Occupied,129,96,Medium,3,33,Group 3
A1404,A,14,04,Pallet,Occupied,129,15,Medium,3,114,Group 3
A1504,A,15,04,Pallet,Occupied,129,53,Medium,3,76,Group 3
B0001,B,00,01,A-stelling,Occupied,234,229,Large,4,5,Group 4
B0101,B,01,01,A-stelling,Occupied,234,229,Large,4,5,Group 4
B0201,B,02,01,A-stelling,Occupied,234,197,Large,4,37,Group 4
B0301,B,03,01,Cabinet Frame,Occupied,234,229,Large,4,5,Group 4
B0401,B,04,01,Cabinet Frame,Occupied,234,197,Medium,3,37,Group 4
B0901,B,09,01,Pallet,Occupied,234,120,Medium,3,114,Group 4
B1001,B,10,01,A-stelling,Occupied,234,202,Medium,3,32,Group 4
B1201,B,12,01,Pallet,Occupied,234,172,Medium,3,62,Group 4
B1301,B,13,01,Pallet,Occupied,234,175,Medium,3,59,Group 4
B1401,B,14,01,Pallet,Occupied,234,117,Medium,3,117,Group 4
B1501,B,15,01,Pallet,Occupied,234,200,Medium,3,34,Group 4
B1601,B,16,01,Pallet,Occupied,234,71,Medium,3,163,Group 4
B1701,B,17,01,Pallet,Occupied,234,139,Medium,3,95,Group 4
B1801,B,18,01,Pallet,Occupied,234,114,Medium,3,120,Group 4
B0002,B,00,02,Cabinet Frame,Occupied,234,196,Large,4,38,Group 4
B0102,B,01,02,Cabinet Frame,Occupied,234,196,Large,4,38,Group 4
B0202,B,02,02,Cabinet Frame,Occupied,234,196,Large,4,38,Group 4
B0302,B,03,02,Cabinet Frame,Occupied,234,196,Large,4,38,Group 4
B0702,B,07,02,Pallet,Occupied,234,160,Medium,3,74,Group 4
B0802,B,08,02,Pallet,Occupied,234,160,Medium,3,74,Group 4
B0902,B,09,02,Pallet,Occupied,234,160,Medium,3,74,Group 4
B1402,B,14,02,Pallet,Occupied,234,218,Medium,3,16,Group 4
B1502,B,15,02,Pallet,Occupied,234,218,Medium,3,16,Group 4
B1602,B,16,02,Pallet,Occupied,234,198,Medium,3,36,Group 4
B1702,B,17,02,Pallet,Occupied,234,196,Medium,3,38,Group 4
B1802,B,18,02,Pallet,Occupied,234,199,Medium,3,35,Group 4
B1902,B,19,02,Pallet,Occupied,234,141,Medium,3,93,Group 4
B2002,B,20,02,Pallet,Occupied,234,141,Medium,3,93,Group 4
B0303,B,03,03,Pallet,Occupied,94,90,Large,4,4,Group 2
B0403,B,04,03,Pallet,Occupied,94,33,Medium,3,61,Group 2
B0603,B,06,03,Pallet,Occupied,94,49,Medium,3,45,Group 2
B0703,B,07,03,Pallet,Occupied,94,28,Medium,3,66,Group 2
B0803,B,08,03,Pallet,Occupied,94,62,Medium,3,32,Group 2
B0903,B,09,03,Pallet,Occupied,94,48,Medium,3,46,Group 2
B1003,B,10,03,Pallet,Occupied,94,47,Medium,3,47,Group 2
B1103,B,11,03,Pallet,Occupied,94,39,Medium,3,55,Group 2
B1203,B,12,03,Pallet,Occupied,94,27,Medium,3,67,Group 2
B1303,B,13,03,Pallet,Occupied,94,76,Medium,3,18,Group 2
B1403,B,14,03,Pallet,Occupied,94,38,Medium,3,56,Group 2
B0004,B,00,04,Pallet,Occupied,129,102,Large,4,27,Group 3
B0104,B,01,04,Pallet,Occupied,129,102,Large,4,27,Group 3
B0204,B,02,04,Pallet,Occupied,129,110,Large,4,19,Group 3
B0304,B,03,04,Pallet,Occupied,129,125,Large,4,4,Group 3
B0404,B,04,04,Pallet,Occupied,129,76,Medium,3,53,Group 3
B0504,B,05,04,Pallet,Occupied,129,73,Medium,3,56,Group 3
B0704,B,07,04,Pallet,Occupied,129,72,Medium,3,57,Group 3
B0804,B,08,04,Pallet,Occupied,129,76,Medium,3,53,Group 3
B0904,B,09,04,Pallet,Occupied,129,76,Medium,3,53,Group 3
B1004,B,10,04,Pallet,Occupied,129,55,Medium,3,74,Group 3
B1104,B,11,04,Pallet,Occupied,129,106,Medium,3,23,Group 3
B1204,B,12,04,Pallet,Occupied,129,120,Medium,3,9,Group 3
B1304,B,13,04,Pallet,Occupied,129,55,Medium,3,74,Group 3
B1404,B,14,04,Pallet,Occupied,129,76,Medium,3,53,Group 3
B1504,B,15,04,Pallet,Occupied,129,46,Medium,3,83,Group 3
B1604,B,16,04,Pallet,Occupied,129,44,Medium,3,85,Group 3
B1704,B,17,04,Pallet,Occupied,129,44,Medium,3,85,Group 3
B1804,B,18,04,Pallet,Occupied,129,44,Medium,3,85,Group 3
B1901a,B,19,1a,Pallet,Occupied,94,55,Small,2,39,Group 2
B2001a,B,20,1a,Pallet,Occupied,94,25,Small,2,69,Group 2
B1901b,B,19,1b,Legbord,Occupied,39,10,Small,2,29,Group 1
B2001b,B,20,1b,Legbord,Occupied,39,23,Small,2,16,Group 1
B1901c,B,19,1c,Legbord,Occupied,69,65,Small,2,4,Group 1
