Config_ID,Rack_Column,Beam_Count_Used,Allowed_Used_Height_cm,Assigned_Used_Height_cm,Remaining_Height_cm,Fill_Ratio,Beam_Relocations_In_Column,Removed_Beams_In_Column,Added_Beams_In_Column,TopFill_Original_Top_Slot_cm,TopFill_Added_Height_cm,TopFill_Adjusted_Top_Slot_cm,Slot_Size_Distribution
CFG_001,A00,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,A01,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,A02,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,A03,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,A04,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,A05,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,A06,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,A07,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,A08,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,A09,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,A10,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,A11,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,A12,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,A13,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,A14,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,A15,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,B00,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,B01,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,B02,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,B03,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,B04,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,B05,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,B06,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,B07,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,B08,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,B09,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,B10,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,B11,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,B12,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,B13,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,B14,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,B15,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,B16,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,B17,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,B18,3,754.000,754.000,0.000,1.0000,1,0,0,119.000,0.000,119.000,119:2|234:2
CFG_001,B19,5,754.000,689.000,65.000,0.9138,2,2,2,64.000,55.000,119.000,64:4|119:1|234:1
CFG_001,B20,5,754.000,689.000,65.000,0.9138,2,2,2,64.000,55.000,119.000,64:4|119:1|234:1
CFG_001,B21,5,754.000,689.000,65.000,0.9138,2,0,2,64.000,55.000,119.000,64:4|119:1|234:1
CFG_001,D00,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,D01,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,D02,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,D03,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,D04,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,D05,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,D06,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,D07,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,D08,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,D09,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,D10,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,D11,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,D12,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,D13,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,D14,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,D15,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,D16,3,754.000,754.000,0.000,1.0000,3,1,0,119.000,0.000,119.000,119:2|234:2
CFG_001,D17,3,754.000,754.000,0.000,1.0000,3,1,0,119.000,0.000,119.000,119:2|234:2
CFG_001,D18,3,754.000,754.000,0.000,1.0000,3,1,0,119.000,0.000,119.000,119:2|234:2
CFG_001,D19,5,754.000,684.000,70.000,0.9072,2,1,2,64.000,55.000,119.000,64:4|119:1|229:1
CFG_001,D20,5,754.000,684.000,70.000,0.9072,2,1,2,64.000,55.000,119.000,64:4|119:1|229:1
CFG_001,D21,5,754.000,684.000,70.000,0.9072,2,0,2,64.000,55.000,119.000,64:4|119:1|229:1
CFG_001,E00,3,754.000,754.000,0.000,1.0000,3,3,0,119.000,0.000,119.000,119:2|234:2
CFG_001,E01,3,754.000,754.000,0.000,1.0000,3,3,0,119.000,0.000,119.000,119:2|234:2
CFG_001,E02,3,754.000,754.000,0.000,1.0000,3,3,0,119.000,0.000,119.000,119:2|234:2
CFG_001,E03,3,754.000,754.000,0.000,1.0000,3,3,0,119.000,0.000,119.000,119:2|234:2
CFG_001,E04,3,754.000,754.000,0.000,1.0000,3,3,0,119.000,0.000,119.000,119:2|234:2
CFG_001,E05,3,754.000,754.000,0.000,1.0000,3,3,0,119.000,0.000,119.000,119:2|234:2
CFG_001,E06,3,754.000,754.000,0.000,1.0000,3,3,0,119.000,0.000,119.000,119:2|234:2
CFG_001,E07,3,754.000,754.000,0.000,1.0000,3,3,0,119.000,0.000,119.000,119:2|234:2
CFG_001,E08,3,754.000,754.000,0.000,1.0000,3,3,0,119.000,0.000,119.000,119:2|234:2
CFG_001,E09,3,754.000,754.000,0.000,1.0000,3,3,0,119.000,0.000,119.000,119:2|234:2
CFG_001,E10,3,754.000,754.000,0.000,1.0000,3,3,0,119.000,0.000,119.000,119:2|234:2
CFG_001,E11,3,754.000,754.000,0.000,1.0000,3,3,0,119.000,0.000,119.000,119:2|234:2
CFG_001,E12,3,754.000,754.000,0.000,1.0000,3,3,0,119.000,0.000,119.000,119:2|234:2
CFG_001,E13,3,754.000,754.000,0.000,1.0000,3,3,0,119.000,0.000,119.000,119:2|234:2
CFG_001,E14,3,754.000,754.000,0.000,1.0000,3,3,0,119.000,0.000,119.000,119:2|234:2
CFG_001,E15,3,754.000,754.000,0.000,1.0000,3,3,0,119.000,0.000,119.000,119:2|234:2
CFG_001,E16,3,754.000,754.000,0.000,1.0000,3,3,0,119.000,0.000,119.000,119:2|234:2
CFG_001,E17,3,754.000,754.000,0.000,1.0000,3,3,0,119.000,0.000,119.000,119:2|234:2
CFG_001,E18,3,754.000,754.000,0.000,1.0000,3,3,0,119.000,0.000,119.000,119:2|234:2
CFG_001,E19,6,754.000,709.000,45.000,0.9403,1,2,2,64.000,55.000,119.000,64:6|229:1
CFG_001,E20,6,754.000,709.000,45.000,0.9403,1,2,2,64.000,55.000,119.000,64:6|229:1
CFG_001,E21,6,754.000,709.000,45.000,0.9403,1,0,2,64.000,55.000,119.000,64:6|229:1
CFG_001,F00,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,F01,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,F02,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,F03,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,F04,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,F05,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
CFG_001,F06,3,754.000,754.000,0.000,1.0000,3,2,0,119.000,0.000,119.000,119:2|234:2
