Config_ID,Layout_Feasible,Allocation_Feasible_Initial,Required_Locations_Total,Total_Locations,Capacity_Margin,Assigned_Used_Height_Total,Total_Allowed_Height,Space_Left,Beam_Relocations_Total,Beam_Relocations_Before_Local_Search,Beam_Relocations_After_Local_Search,Local_Search_Accepted_Moves,Initial_Beams_Total,Required_Beams_Total,Additional_Beams_Required,Initial_Grids_Total,Required_Grids_Total,Additional_Grids_Required,Percentage_Rack_Height_Used,Minimum_Required_Counts,Additional_Fill_Counts,Layout_Slot_Size_Distribution,Layout_Slot_Size_Cumulative_Coverage,Source_Slot_Sizes,Doorgang_Usable_Alignment_Conversions,Feasible_Columns_Considered_Total,Feasible_Columns_Min,Feasible_Columns_Max,Feasible_Columns_Average
CFG_001,YES,NO,890,901,11,160216.000,161356.000,1140.000,176,176,176,0,305,223,0,949,698,0,99.29,64:482|119:306|234:102,119:88|224:8|229:20|234:277,64:111|119:394|224:5|229:15|234:376,64:901|119:790|224:396|229:391|234:376,"=""64,119,234""",0,214,1,214,1.000
CFG_002,YES,NO,890,1202,312,160506.000,161356.000,850.000,247,247,247,0,305,318,13,949,999,50,99.47,64:482|119:306|184:83|234:19,64:229|184:76|224:6|229:18|234:210,64:711|119:90|184:159|224:3|229:12|234:227,64:1202|119:491|184:401|224:242|229:239|234:227,"=""64,119,184,234""",0,214,1,214,1.000
CFG_003,NO,NO,890,1548,658,162086.000,161356.000,250.000,263,263,260,3,305,428,123,949,1345,396,100.45,29:158|64:324|119:306|184:83|234:19,29:533|224:6|229:21|234:239,29:691|64:302|119:262|184:19|224:2|229:15|234:257,29:1548|64:857|119:555|184:293|224:274|229:272|234:257,"=""29,64,119,184,234""",0,214,1,214,1.000
CFG_004,NO,NO,890,1676,786,161851.000,161356.000,240.000,269,263,261,2,305,469,164,949,1473,524,100.31,29:158|64:324|94:209|119:97|184:83|234:19,29:672|64:2|119:138|224:6|229:20|234:218,29:830|64:326|94:23|119:235|184:10|224:2|229:14|234:236,29:1676|64:846|94:520|119:497|184:262|224:252|229:250|234:236,"=""29,64,94,119,184,234""",0,214,1,214,1.000
CFG_005,NO,YES,890,1678,788,161806.000,161356.000,285.000,274,274,270,4,305,469,164,949,1475,526,100.28,29:158|64:324|94:209|119:97|149:60|184:23|234:19,29:767|149:5|184:18|224:9|229:18|234:215,29:925|64:207|94:104|119:86|149:65|184:41|224:5|229:12|234:233,29:1678|64:753|94:546|119:442|149:356|184:291|224:250|229:245|234:233,"=""29,64,94,119,149,184,234""",0,214,1,214,1.000
CFG_006,YES,NO,890,899,9,160776.000,161356.000,580.000,180,180,180,0,305,223,0,949,696,0,99.64,69:451|119:305|234:134,119:89|224:6|229:22|234:246,69:108|119:394|224:3|229:18|234:376,69:899|119:791|224:397|229:394|234:376,"=""69,119,234""",0,214,1,214,1.000
CFG_007,YES,NO,890,1269,379,160466.000,161356.000,890.000,270,270,270,0,305,341,36,949,1066,117,99.45,69:451|119:305|179:112|234:22,69:27|119:274|179:79|224:6|229:18,69:478|119:579|179:191|224:3|229:12|234:6,69:1269|119:791|179:212|224:21|229:18|234:6,"=""69,119,179,234""",0,214,1,214,1.000
CFG_008,NO,NO,890,1216,326,161911.000,161356.000,665.000,264,263,263,0,305,324,19,949,1013,64,100.34,69:451|89:135|119:170|179:112|234:22,89:30|119:141|179:135|224:8|229:16|234:46,69:412|89:165|119:311|179:247|224:4|229:10|234:67,69:1216|89:804|119:639|179:328|224:81|229:77|234:67,"=""69,89,119,179,234""",0,214,1,214,1.000
CFG_009,NO,NO,890,1522,632,161876.000,161356.000,215.000,272,272,268,4,305,420,115,949,1319,370,100.32,39:147|69:304|89:135|119:170|179:112|234:22,39:620|89:53|179:173|224:6|229:18|234:67,39:767|69:92|89:188|119:88|179:285|224:2|229:13|234:87,39:1522|69:755|89:663|119:475|179:387|224:102|229:100|234:87,"=""39,69,89,119,179,234""",0,214,1,214,1.000
CFG_010,NO,YES,890,1633,743,162436.000,161356.000,145.000,267,262,259,3,305,454,149,949,1430,481,100.67,39:147|69:304|89:135|119:170|144:72|179:40|234:22,39:799|144:48|179:36|224:6|229:18|234:160,39:946|69:179|89:85|119:32|144:120|179:76|224:2|229:13|234:180,39:1633|69:687|89:508|119:423|144:391|179:271|224:195|229:193|234:180,"=""39,69,89,119,144,179,234""",0,214,1,214,1.000
