Config_ID,Layout_Feasible,Allocation_Feasible_Initial,Required_Locations_Total,Total_Locations,Capacity_Margin,Assigned_Used_Height_Total,Total_Allowed_Height,Space_Left,Beam_Relocations_Total,Beam_Relocations_Before_Local_Search,Beam_Relocations_After_Local_Search,Local_Search_Accepted_Moves,Initial_Beams_Total,Required_Beams_Total,Additional_Beams_Required,Initial_Grids_Total,Required_Grids_Total,Additional_Grids_Required,Percentage_Rack_Height_Used,Minimum_Required_Counts,Additional_Fill_Counts,Layout_Slot_Size_Distribution,Layout_Slot_Size_Cumulative_Coverage,Source_Slot_Sizes,Doorgang_Usable_Alignment_Conversions,Feasible_Columns_Considered_Total,Feasible_Columns_Min,Feasible_Columns_Max,Feasible_Columns_Average
CFG_001,NO,NO,890,1059,169,151886.000,161356.000,11175.000,207,207,207,0,305,273,0,949,856,0,94.13,64:482|119:306|234:102,69:38|114:79|119:132|224:6|229:22|234:115,64:270|69:38|114:79|119:438|224:2|229:18|234:214,64:1059|69:789|114:751|119:672|224:234|229:232|234:214,"=""64,119,234""",0,214,1,214,1.000
CFG_002,NO,NO,890,1254,364,154641.000,161356.000,8870.000,247,247,247,0,305,337,32,949,1051,102,95.84,64:482|119:306|184:83|234:19,64:235|184:104|224:6|229:18|234:85,64:717|119:233|184:187|224:2|229:17|234:98,64:1254|119:537|184:304|224:117|229:115|234:98,"=""64,119,184,234""",0,214,1,214,1.000
CFG_003,NO,NO,890,1770,880,165626.000,161356.000,150.000,276,269,269,0,305,499,194,949,1567,618,102.65,29:158|64:324|119:306|184:83|234:19,29:618|59:18|64:179|69:39|114:38|179:38|184:40|224:6|229:16|234:126,29:776|59:18|64:503|69:39|114:38|119:79|179:38|184:123|224:3|229:15|234:138,29:1770|59:994|64:976|69:473|114:434|119:396|179:317|184:279|224:156|229:153|234:138,"=""29,64,119,184,234""",0,214,1,214,1.000
CFG_004,NO,NO,890,1746,856,165231.000,161356.000,750.000,269,261,261,0,305,491,186,949,1543,594,102.40,29:158|64:324|94:209|119:97|184:83|234:19,29:618|59:19|64:94|69:38|114:38|119:35|124:19|179:19|189:19|224:6|229:14|234:163,29:776|59:19|64:418|69:38|94:35|114:38|119:132|124:19|179:19|184:42|189:19|224:6|229:12|234:173,29:1746|59:970|64:951|69:533|94:495|114:460|119:422|124:290|179:271|184:252|189:210|224:191|229:185|234:173,"=""29,64,94,119,184,234""",0,214,1,214,1.000
CFG_005,NO,YES,890,1718,828,164771.000,161356.000,855.000,256,248,248,0,305,482,177,949,1515,566,102.12,29:158|64:324|94:209|119:97|149:60|184:23|234:19,29:655|34:38|59:19|89:19|119:81|124:19|149:100|224:4|229:14|234:150,29:813|34:38|59:19|64:257|89:19|94:20|119:178|124:19|149:160|184:19|224:3|229:12|234:161,29:1718|34:905|59:867|64:848|89:591|94:572|119:552|124:374|149:355|184:195|224:176|229:173|234:161,"=""29,64,94,119,149,184,234""",0,214,1,214,1.000
CFG_006,NO,NO,890,975,85,152056.000,161356.000,11565.000,204,204,204,0,305,247,0,949,772,0,94.24,69:451|119:305|234:134,114:19|119:107|224:6|229:43|234:123,69:249|114:19|119:412|224:3|229:40|234:252,69:975|114:726|119:707|224:295|229:292|234:252,"=""69,119,234""",0,214,1,214,1.000
CFG_007,NO,NO,890,1273,383,161196.000,161356.000,4070.000,260,260,260,0,305,345,40,949,1070,121,99.90,69:451|119:305|179:112|234:22,69:98|74:2|119:214|224:6|229:24|234:60,69:549|74:2|119:519|179:102|224:2|229:21|234:78,69:1273|74:724|119:722|179:203|224:101|229:99|234:78,"=""69,119,179,234""",0,214,1,214,1.000
CFG_008,NO,NO,890,1267,377,165471.000,161356.000,6540.000,263,258,258,0,305,340,35,949,1064,115,102.55,69:451|89:135|119:170|179:112|234:22,69:8|89:122|119:60|124:19|174:16|179:33|224:4|229:18|234:108,69:459|89:257|119:230|124:19|174:16|179:145|229:16|234:125,69:1267|89:808|119:551|124:321|174:302|179:286|229:141|234:125,"=""69,89,119,179,234""",0,214,1,214,1.000
CFG_009,NO,NO,890,1730,840,166656.000,161356.000,800.000,273,263,263,0,305,486,181,949,1527,578,103.28,39:147|69:304|89:135|119:170|179:112|234:22,39:829|44:15|64:19|89:53|94:19|124:23|179:37|184:19|224:6|229:18|234:102,39:976|44:15|64:19|69:115|89:188|94:19|119:70|124:23|179:149|184:19|224:3|229:18|234:116,39:1730|44:754|64:739|69:720|89:605|94:417|119:398|124:328|179:305|184:156|224:137|229:134|234:116,"=""39,69,89,119,179,234""",0,214,1,214,1.000
CFG_010,NO,YES,890,1676,786,165766.000,161356.000,1200.000,254,245,245,0,305,468,163,949,1473,524,102.73,39:147|69:304|89:135|119:170|144:72|179:40|234:22,39:812|44:19|74:19|144:106|149:23|174:3|179:24|224:6|229:16|234:142,39:959|44:19|69:178|74:19|89:35|119:23|144:178|149:23|174:3|179:64|224:3|229:15|234:157,39:1676|44:717|69:698|74:520|89:501|119:466|144:443|149:265|174:242|179:239|224:175|229:172|234:157,"=""39,69,89,119,144,179,234""",0,214,1,214,1.000
